sigla_tribunal,id_orgao_julgador,servidores
TJAC,70741,0.00
TJAC,70742,0.00
TJAC,70743,2.00
TJAC,70744,0.00
TJAC,70745,0.00
TJAC,70746,0.00
TJAC,70747,0.00
TJAC,70748,0.00
TJAC,70749,0.00
TJAC,72893,0.00
TJAC,72894,0.00
TJAC,74211,1.00
TJAC,74212,1.00
TJAC,74213,1.00
TJAC,74214,4.00
TJAC,74296,5.00
TJAC,74300,6.00
TJAC,74302,2.00
TJAC,74384,0.00
TJAC,74385,0.00
TJAC,74386,0.00
TJAC,75537,6.00
TJAC,75538,1.00
TJAC,76534,1.00
TJAC,77843,0.00
TJAC,77844,0.00
TJAC,77845,0.00
TJAC,77846,0.00
TJAC,77847,0.00
TJAC,77848,0.00
TJAC,77849,0.00
TJAC,77850,1.00
TJAC,77851,0.00
TJAC,77852,0.00
TJAC,77853,0.00
TJAC,77854,0.00
TJAC,77855,0.00
TJAC,77856,0.00
TJAC,77857,0.00
TJAC,77859,0.00
TJAC,77860,0.00
TJAC,77861,0.00
TJAC,78416,1.00
TJAC,78576,0.00
TJAC,79446,0.00
TJAC,79447,4.00
TJAC,79480,0.00
TJAC,79521,4.00
TJAC,79522,7.00
TJAC,79711,0.00
TJAC,80358,0.00
TJAC,80980,4.00
TJAC,80983,5.00
TJAC,80984,3.00
TJAC,80985,11.00
TJAC,80986,6.00
TJAC,80987,11.00
TJAC,80988,2.00
TJAC,80989,3.00
TJAC,80990,5.00
TJAC,80991,23.00
TJAC,80992,2.00
TJAC,80993,12.00
TJAC,80994,0.00
TJAC,80995,6.00
TJAC,80996,10.00
TJAC,80997,2.00
TJAC,80998,0.00
TJAC,80999,11.00
TJAC,81003,24.00
TJAC,81004,10.00
TJAC,81005,4.00
TJAC,81006,63.00
TJAC,81007,10.00
TJAC,83427,3.00
TJAC,83428,3.00
TJAL,9,0.00
TJAL,5735,6.00
TJAL,5743,5.00
TJAL,5756,6.00
TJAL,5762,2.00
TJAL,5774,7.00
TJAL,5789,9.00
TJAL,5794,8.00
TJAL,5800,2.00
TJAL,5828,7.00
TJAL,5839,6.00
TJAL,5845,8.00
TJAL,5862,7.00
TJAL,5864,6.00
TJAL,5866,6.00
TJAL,5871,6.00
TJAL,5872,5.00
TJAL,5878,5.00
TJAL,5895,7.00
TJAL,5900,2.00
TJAL,5902,11.00
TJAL,5903,9.00
TJAL,5904,6.00
TJAL,5907,7.00
TJAL,5909,6.00
TJAL,5910,8.00
TJAL,5913,6.00
TJAL,5916,6.00
TJAL,6199,6.00
TJAL,6201,7.00
TJAL,6203,9.00
TJAL,6212,6.00
TJAL,6218,5.00
TJAL,6220,6.00
TJAL,6221,4.00
TJAL,6222,5.00
TJAL,6225,5.00
TJAL,6229,6.00
TJAL,6230,6.00
TJAL,6246,4.00
TJAL,6250,6.00
TJAL,6291,6.00
TJAL,6328,5.00
TJAL,6330,6.00
TJAL,6357,4.00
TJAL,6360,4.00
TJAL,6362,4.00
TJAL,6364,5.00
TJAL,6366,4.00
TJAL,6368,5.00
TJAL,6370,5.00
TJAL,6375,6.00
TJAL,6376,5.00
TJAL,6503,3.00
TJAL,6504,8.00
TJAL,6534,4.00
TJAL,6535,4.00
TJAL,6537,6.00
TJAL,6538,6.00
TJAL,6544,2.00
TJAL,6548,4.00
TJAL,6550,6.00
TJAL,6552,6.00
TJAL,6556,6.00
TJAL,6559,1.00
TJAL,6561,2.00
TJAL,6562,4.00
TJAL,6572,5.00
TJAL,6577,5.00
TJAL,6581,5.00
TJAL,6592,8.00
TJAL,6598,8.00
TJAL,6601,5.00
TJAL,6612,6.00
TJAL,6615,5.00
TJAL,6618,5.00
TJAL,6638,6.00
TJAL,6646,8.00
TJAL,6649,5.00
TJAL,6656,5.00
TJAL,6662,5.00
TJAL,6664,4.00
TJAL,6667,4.00
TJAL,6671,4.00
TJAL,6677,5.00
TJAL,6680,6.00
TJAL,6683,6.00
TJAL,6686,5.00
TJAL,6691,10.00
TJAL,6695,5.00
TJAL,6696,6.00
TJAL,6701,5.00
TJAL,6702,5.00
TJAL,6704,5.00
TJAL,6707,6.00
TJAL,6709,5.00
TJAL,6710,5.00
TJAL,6711,5.00
TJAL,6714,5.00
TJAL,6717,3.00
TJAL,6720,5.00
TJAL,6721,5.00
TJAL,6724,5.00
TJAL,6725,9.00
TJAL,6728,5.00
TJAL,6732,4.00
TJAL,6735,4.00
TJAL,6736,8.00
TJAL,6738,5.00
TJAL,6740,5.00
TJAL,6743,6.00
TJAL,6744,5.00
TJAL,6747,6.00
TJAL,6748,5.00
TJAL,6750,7.00
TJAL,6753,6.00
TJAL,8179,9.00
TJAL,8180,3.00
TJAL,8181,3.00
TJAL,8183,4.00
TJAL,8184,3.00
TJAL,8185,4.00
TJAL,8186,3.00
TJAL,8187,4.00
TJAL,8188,4.00
TJAL,8189,3.00
TJAL,8190,5.00
TJAL,8191,4.00
TJAL,8192,0.00
TJAL,8193,6.00
TJAL,8194,9.00
TJAL,8195,12.00
TJAL,8196,5.00
TJAL,8198,6.00
TJAL,8199,6.00
TJAL,8200,6.00
TJAL,8201,12.00
TJAL,8202,6.00
TJAL,8203,5.00
TJAL,8205,5.00
TJAL,8206,6.00
TJAL,8207,4.00
TJAL,8208,6.00
TJAL,8209,7.00
TJAL,8210,6.00
TJAL,8211,6.00
TJAL,8212,8.00
TJAL,8213,6.00
TJAL,8214,6.00
TJAL,8215,6.00
