id_orgao_julgador,sigla_tribunal,ramo_justica,sigla_grau,id_formato,procedimento,originario,ultimo_dia,ind1,ind2,ind16_dias,ind16_proc,ind5,ind18_dias,ind6a,ind8a,ind9,ind10,ind13a,ind13b,ind18_proc,ind4,ind11,ind24,ind25,ind26,formato,grau,bx_tmp,tramit_tmp
22292,TRT21,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,55,239,286,4,216,42084,20,18,17,22,0,0,216,23,30,4,9,1,Eletrônico,Primeiro Grau,71.5,194.83333333333334
22292,TRT21,Justiça do Trabalho,G1,1,Execução extrajudicial não fiscal,Sim,2024-01-31,0,7,221,1,2,4346,0,1,1,0,0,0,2,5,0,0,0,0,Eletrônico,Primeiro Grau,221.0,2173.0
22292,TRT21,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,6,731,26857,17,390,428805,40,21,39,49,0,0,390,341,0,2,2,3,Eletrônico,Primeiro Grau,1579.8235294117646,1099.5
22293,TRT21,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,57,200,1123,15,189,37280,15,41,17,35,0,0,189,11,19,2,3,1,Eletrônico,Primeiro Grau,74.86666666666666,197.24867724867724
22293,TRT21,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,12,1672,48062,45,963,1195152,12,80,103,109,0,0,963,709,2,0,4,1,Eletrônico,Primeiro Grau,1068.0444444444445,1241.0716510903426
22294,TRT21,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,2,93,2,2,93,85341,0,0,2,0,0,0,93,0,0,0,0,0,Eletrônico,Primeiro Grau,1.0,917.6451612903226
22294,TRT21,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,29,151,1274,11,150,28481,34,21,39,52,0,0,150,1,17,7,8,4,Eletrônico,Primeiro Grau,115.81818181818181,189.87333333333333
22294,TRT21,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,13,539,5246,14,359,313934,28,18,151,60,0,0,359,180,0,0,1,0,Eletrônico,Primeiro Grau,374.7142857142857,874.4679665738162
22295,TRT21,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,35,241,18146,15,223,103017,36,20,92,38,0,0,223,18,20,4,7,2,Eletrônico,Primeiro Grau,1209.7333333333333,461.9596412556054
22295,TRT21,Justiça do Trabalho,G1,1,Execução fiscal,Sim,2024-01-31,0,19,4460,1,12,30947,2,0,2,2,0,0,12,7,0,0,3,0,Eletrônico,Primeiro Grau,4460.0,2578.9166666666665
22295,TRT21,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,8,1655,149893,80,1363,2280681,255,131,156,149,0,0,1363,292,0,6,10,1,Eletrônico,Primeiro Grau,1873.6625,1673.2802641232574
22297,TRT21,Justiça do Trabalho,G2,1,Conhecimento não criminal,Não,2024-01-31,35,337,6755,24,329,42850,73,1,11,7,0,0,329,8,0,20,46,3,Eletrônico,Segundo Grau,281.4583333333333,130.24316109422492
22297,TRT21,Justiça do Trabalho,G2,1,Conhecimento não criminal,Sim,2024-01-31,3,22,694,3,20,2815,2,3,7,1,1,0,20,2,0,0,2,0,Eletrônico,Segundo Grau,231.33333333333334,140.75
22298,TRT21,Justiça do Trabalho,G2,1,Conhecimento não criminal,Não,2024-01-31,27,332,4795,29,301,40497,45,2,5,9,0,0,301,31,0,9,43,24,Eletrônico,Segundo Grau,165.3448275862069,134.54152823920265
22298,TRT21,Justiça do Trabalho,G2,1,Conhecimento não criminal,Sim,2024-01-31,3,33,2291,3,33,13204,2,6,6,2,1,0,33,0,0,1,3,2,Eletrônico,Segundo Grau,763.6666666666666,400.1212121212121
22298,TRT21,Justiça do Trabalho,G2,1,Conhecimento não criminal,Não,2024-01-31,5,33,137,1,30,2761,3,0,0,1,0,0,30,3,0,0,3,0,Eletrônico,Segundo Grau,137.0,92.03333333333333
22299,TRT21,Justiça do Trabalho,G2,1,Conhecimento não criminal,Sim,2024-01-31,0,8,191,1,6,2752,0,0,1,0,0,0,6,2,0,0,1,0,Eletrônico,Segundo Grau,191.0,458.6666666666667
22299,TRT21,Justiça do Trabalho,G2,1,Conhecimento não criminal,Não,2024-01-31,0,31,277,1,30,8421,26,0,0,0,0,0,30,1,0,0,0,0,Eletrônico,Segundo Grau,277.0,280.7
22299,TRT21,Justiça do Trabalho,G2,1,Conhecimento não criminal,Não,2024-01-31,0,5,437,1,5,927,4,0,0,0,0,0,5,0,0,0,0,0,Eletrônico,Segundo Grau,437.0,185.4
